0,0.026711,0.015025,0.006678,0.005008,0.005008,0.006678,0.026711,0.010017,0.010017,0.008347,0.008347,0.006678,0.742905,0.006678,0.005008,0.005008,0.005008,0.006678,0.040067,0.010017,0.006678,0.006678,0.005008,0.011686,0.013356
1,0.015025,0.003339,0.003339,0.008347,0.036728,0.026711,0.028381,0.016694,0.010017,0.008347,0.025042,0.272120,0.337229,0.021703,0.008347,0.006678,0.016694,0.020033,0.026711,0.008347,0.063439,0.003339,0.005008,0.020033,0.008347
2,0.003339,0.001669,0.001669,0.001669,0.018364,0.011686,0.015025,0.008347,0.003339,0.003339,0.003339,0.185309,0.035058,0.063439,0.003339,0.008347,0.003339,0.008347,0.008347,0.010017,0.577629,0.003339,0.006678,0.001669,0.013356
3,0.006678,0.001669,0.001669,0.003339,0.036728,0.005008,0.010017,0.013356,0.006678,0.006678,0.003339,0.026711,0.045075,0.045075,0.006678,0.005008,0.001669,0.006678,0.005008,0.003339,0.747913,0.003339,0.001669,0.003339,0.003339
4,0.005008,0.001669,0.006678,0.008347,0.252087,0.006678,0.008347,0.008347,0.005008,0.006678,0.003339,0.043406,0.043406,0.030050,0.013356,0.006678,0.001669,0.011686,0.008347,0.005008,0.515860,0.003339,0.001669,0.001669,0.001669
5,0.005008,0.001669,0.000000,0.001669,0.621035,0.005008,0.003339,0.005008,0.001669,0.006678,0.005008,0.016694,0.123539,0.020033,0.011686,0.001669,0.000000,0.006678,0.005008,0.011686,0.140234,0.003339,0.000000,0.001669,0.001669
6,0.001669,0.001669,0.003339,0.003339,0.590985,0.013356,0.003339,0.005008,0.006678,0.006678,0.005008,0.011686,0.100167,0.018364,0.006678,0.003339,0.003339,0.015025,0.003339,0.006678,0.166945,0.003339,0.005008,0.011686,0.003339
7,0.000000,0.003339,0.003339,0.003339,0.575960,0.008347,0.006678,0.005008,0.021703,0.001669,0.015025,0.016694,0.106845,0.021703,0.003339,0.010017,0.005008,0.005008,0.003339,0.003339,0.173623,0.005008,0.000000,0.000000,0.001669
8,0.000000,0.001669,0.003339,0.001669,0.525876,0.003339,0.005008,0.005008,0.103506,0.008347,0.003339,0.010017,0.111853,0.023372,0.006678,0.003339,0.006678,0.003339,0.003339,0.005008,0.153589,0.006678,0.003339,0.000000,0.001669
9,0.000000,0.001669,0.003339,0.001669,0.343907,0.006678,0.003339,0.005008,0.178631,0.010017,0.016694,0.018364,0.108514,0.021703,0.016694,0.001669,0.008347,0.003339,0.005008,0.010017,0.217028,0.005008,0.003339,0.003339,0.006678
10,0.001669,0.001669,0.005008,0.001669,0.115192,0.003339,0.013356,0.010017,0.721202,0.000000,0.000000,0.008347,0.038397,0.010017,0.003339,0.000000,0.008347,0.003339,0.008347,0.000000,0.045075,0.001669,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000,0.000000,0.171953,0.005008,0.010017,0.006678,0.136895,0.000000,0.023372,0.020033,0.145242,0.026711,0.000000,0.000000,0.210351,0.003339,0.005008,0.003339,0.225376,0.000000,0.000000,0.000000,0.006678
12,0.000000,0.001669,0.003339,0.000000,0.133556,0.000000,0.003339,0.003339,0.096828,0.008347,0.015025,0.005008,0.449082,0.013356,0.013356,0.003339,0.136895,0.003339,0.000000,0.000000,0.100167,0.005008,0.003339,0.001669,0.000000
13,0.003339,0.001669,0.000000,0.001669,0.143573,0.006678,0.013356,0.003339,0.409015,0.000000,0.003339,0.003339,0.146912,0.005008,0.003339,0.003339,0.136895,0.005008,0.000000,0.001669,0.096828,0.008347,0.003339,0.000000,0.000000
14,0.001669,0.000000,0.003339,0.000000,0.093489,0.001669,0.006678,0.005008,0.041736,0.003339,0.001669,0.001669,0.626043,0.015025,0.001669,0.000000,0.088481,0.005008,0.000000,0.000000,0.100167,0.001669,0.000000,0.000000,0.001669
15,0.000000,0.000000,0.003339,0.000000,0.106845,0.001669,0.000000,0.003339,0.110184,0.003339,0.000000,0.003339,0.452421,0.013356,0.010017,0.010017,0.155259,0.008347,0.003339,0.000000,0.111853,0.001669,0.000000,0.001669,0.000000
16,0.000000,0.000000,0.001669,0.000000,0.033389,0.001669,0.000000,0.005008,0.071786,0.000000,0.006678,0.003339,0.756260,0.005008,0.000000,0.005008,0.065109,0.005008,0.003339,0.003339,0.031720,0.001669,0.000000,0.000000,0.000000
17,0.001669,0.000000,0.000000,0.001669,0.026711,0.001669,0.003339,0.003339,0.055092,0.000000,0.001669,0.000000,0.811352,0.003339,0.010017,0.003339,0.051753,0.000000,0.000000,0.000000,0.021703,0.000000,0.000000,0.001669,0.001669
18,0.000000,0.001669,0.000000,0.001669,0.025042,0.003339,0.000000,0.001669,0.063439,0.000000,0.001669,0.000000,0.814691,0.006678,0.005008,0.006678,0.045075,0.001669,0.000000,0.000000,0.018364,0.000000,0.000000,0.001669,0.001669
19,0.000000,0.000000,0.001669,0.000000,0.013356,0.000000,0.000000,0.003339,0.030050,0.001669,0.000000,0.000000,0.874791,0.010017,0.010017,0.000000,0.035058,0.000000,0.000000,0.003339,0.011686,0.000000,0.000000,0.005008,0.000000
20,0.001669,0.001669,0.001669,0.001669,0.010017,0.003339,0.006678,0.001669,0.015025,0.000000,0.000000,0.000000,0.904841,0.000000,0.001669,0.000000,0.035058,0.000000,0.003339,0.000000,0.008347,0.001669,0.001669,0.000000,0.000000
21,0.001669,0.000000,0.000000,0.001669,0.010017,0.000000,0.001669,0.000000,0.020033,0.001669,0.001669,0.000000,0.928214,0.000000,0.005008,0.000000,0.015025,0.003339,0.000000,0.000000,0.008347,0.000000,0.000000,0.000000,0.001669
22,0.001669,0.003339,0.001669,0.000000,0.005008,0.001669,0.000000,0.001669,0.015025,0.001669,0.000000,0.000000,0.923205,0.000000,0.001669,0.000000,0.028381,0.000000,0.000000,0.003339,0.010017,0.000000,0.001669,0.000000,0.000000
